,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type,hrefs,Page #
0,"Dec. 6, 2023 - Dec. 12, 2023",Vivian Moeglein,Bruce Westerman,R,AR-4,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027308.pdf,1
1,"Dec. 6, 2023 - Dec. 12, 2023",Aniela Butler,Bruce Westerman,R,AR-4,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027309.pdf,1
2,"Dec. 6, 2023 - Dec. 11, 2023",Brandon Mooney,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027303.pdf,1
3,"Dec. 6, 2023 - Dec. 11, 2023",Craig Wheeler,Robert E. Latta,R,OH-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027304.pdf,1
4,"Dec. 7, 2023 - Dec. 11, 2023",Julia Letlow,Julia Letlow,R,LA-5,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027305.pdf,1
5,"Dec. 6, 2023 - Dec. 11, 2023",Kaitlyn Peterson,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027306.pdf,1
6,"Dec. 6, 2023 - Dec. 11, 2023",Tyler Menzler,Mariannette Miller-Meeks,R,IA-1,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027307.pdf,1
7,"Dec. 6, 2023 - Dec. 11, 2023",David Burns,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027311.pdf,1
8,"Dec. 6, 2023 - Dec. 11, 2023",Elise Krekorian,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027312.pdf,1
9,"Dec. 6, 2023 - Dec. 11, 2023",Gerald Couri,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027313.pdf,1
10,"Dec. 6, 2023 - Dec. 11, 2023",Grace Bellone,John Curtis,R,UT-3,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027314.pdf,1
11,"Dec. 7, 2023 - Dec. 11, 2023",Andrew Garbarino,Andrew Garbarino,R,NY-2,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027316.pdf,1
12,"Dec. 6, 2023 - Dec. 11, 2023",Ashley Nichols,Bruce Westerman,R,AR-4,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027317.pdf,1
13,"Dec. 7, 2023 - Dec. 11, 2023",Lori Chavez-DeRemer,Lori Chavez-DeRemer,R,OR-5,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027319.pdf,1
14,"Dec. 7, 2023 - Dec. 11, 2023",Chrissy Houlahan,Chrissy Houlahan,D,PA-6,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027320.pdf,1
15,"Dec. 6, 2023 - Dec. 11, 2023",Patrick Weaver,Brandon Williams,R,NY-22,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027321.pdf,1
16,"Dec. 7, 2023 - Dec. 11, 2023",Salud Carbajal,Salud Carbajal,D,CA-24,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027322.pdf,1
17,"Dec. 6, 2023 - Dec. 11, 2023",Craig Wheeler,Robert E. Latta,R,OH-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027325.pdf,1
18,"Dec. 6, 2023 - Dec. 11, 2023",Drew Lingle,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027326.pdf,1
19,"Dec. 7, 2023 - Dec. 9, 2023",Sebastian Wigley,Young Kim,R,CA-40,"Williamsburg, VA",Gates Global Policy Center,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027323.pdf,1
20,"Dec. 7, 2023 - Dec. 9, 2023",Young Kim,Young Kim,R,CA-40,"Williamsburg, VA",Gates Global Policy Center,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027324.pdf,1
21,"Nov. 16, 2023 - Nov. 18, 2023",Harrison Jumper,Chrissy Houlahan,D,PA-6,"New York, NY",Third Way Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027296.pdf,1
22,"Nov. 16, 2023 - Nov. 18, 2023",Iyanla Kollock,Nikema Williams,D,GA-5,"New York, NY",Third Way Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027297.pdf,1
23,"Nov. 16, 2023 - Nov. 18, 2023",Lois Lim,Ann McLane Kuster,D,NH-2,"New York, NY",Third Way Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027299.pdf,1
24,"Nov. 9, 2023 - Nov. 12, 2023",Matthew Palmer,Garret Graves,R,LA-6,"New Orleans, LA","Louisana Sugar Cane Foundation, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027295.pdf,1
25,"Nov. 9, 2023 - Nov. 12, 2023",Matthew Palmer,Garret Graves,R,LA-6,"Thibodaux, LA","Louisana Sugar Cane Foundation, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027295.pdf,1
26,"Nov. 9, 2023 - Nov. 11, 2023",Derron Bennett,Frederica Wilson,D,FL-24,"New Orleans, LA","Louisiana Sugar Cane Foundation, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027301.pdf,1
27,"Nov. 9, 2023 - Nov. 11, 2023",Derron Bennett,Frederica Wilson,D,FL-24,"Thibodaux, LA","Louisiana Sugar Cane Foundation, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027301.pdf,1
28,"Nov. 9, 2023 - Nov. 11, 2023",Antwoin Monach,Hank Johnson,D,GA-4,"New Orleans, LA","Louisiana Sugar Cane Foundation, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027310.pdf,1
29,"Nov. 9, 2023 - Nov. 11, 2023",Antwoin Monach,Hank Johnson,D,GA-4,"Thibodaux, LA","Louisiana Sugar Cane Foundation, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027310.pdf,1
30,"Nov. 9, 2023 - Nov. 11, 2023",David Straka,Michael R. Turner,R,OH-10,"New Orleans, LA","Louisiana Sugar Cane Foundation, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027291.pdf,1
