,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type,hrefs,Page #,Departure,Return,Year,Country,Raw Costs
0,"Dec. 6, 2023 - Dec. 12, 2023",Vivian Moeglein,Bruce Westerman,R,AR-4,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027308.pdf,1,"Dec. 6, 2023 "," Dec. 12, 2023",2023,UAE,")

$1,738*

$1,702.90 *Averaged increased

Accompanying |aFlights & local
"
1,"Dec. 6, 2023 - Dec. 12, 2023",Aniela Butler,Bruce Westerman,R,AR-4,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027309.pdf,1,"Dec. 6, 2023 "," Dec. 12, 2023",2023,UAE,")
Traveler $1,591.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
2,"Dec. 6, 2023 - Dec. 11, 2023",Brandon Mooney,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027303.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $2,292.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
3,"Dec. 6, 2023 - Dec. 11, 2023",Craig Wheeler,Robert E. Latta,R,OH-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027304.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,
4,"Dec. 7, 2023 - Dec. 11, 2023",Julia Letlow,Julia Letlow,R,LA-5,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027305.pdf,1,"Dec. 7, 2023 "," Dec. 11, 2023",2023,UAE,")

Traveler $13,703.03 $2,222.00 $451.91
$13,054.44Round-t
rip airfare $648.59

Accompanying
"
5,"Dec. 6, 2023 - Dec. 11, 2023",Kaitlyn Peterson,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027306.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $2,316.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
6,"Dec. 6, 2023 - Dec. 11, 2023",Tyler Menzler,Mariannette Miller-Meeks,R,IA-1,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027307.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,Error making sandwich
7,"Dec. 6, 2023 - Dec. 11, 2023",David Burns,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027311.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,Error making sandwich
8,"Dec. 6, 2023 - Dec. 11, 2023",Elise Krekorian,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027312.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $2,316.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
9,"Dec. 6, 2023 - Dec. 11, 2023",Gerald Couri,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027313.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $1,766.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
10,"Dec. 6, 2023 - Dec. 11, 2023",Grace Bellone,John Curtis,R,UT-3,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027314.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $1,755.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
11,"Dec. 7, 2023 - Dec. 11, 2023",Andrew Garbarino,Andrew Garbarino,R,NY-2,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027316.pdf,1,"Dec. 7, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $13,396.74 $2,222.00 $451.91
$13,054.44
Accompanying
"
12,"Dec. 6, 2023 - Dec. 11, 2023",Ashley Nichols,Bruce Westerman,R,AR-4,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027317.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $1,563.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
13,"Dec. 7, 2023 - Dec. 11, 2023",Lori Chavez-DeRemer,Lori Chavez-DeRemer,R,OR-5,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027319.pdf,1,"Dec. 7, 2023 "," Dec. 11, 2023",2023,UAE,")
drayeles $10,913.55 $2,222.00 $451.91
10,381.01

Roundtrip airfare

Accompanying
"
14,"Dec. 7, 2023 - Dec. 11, 2023",Chrissy Houlahan,Chrissy Houlahan,D,PA-6,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027320.pdf,1,"Dec. 7, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $17,573.93 $2,222.00 $451.91
$17,145.40
Round-trip airfare
Accompanying |§ 17,573.93 $451.91

"
15,"Dec. 6, 2023 - Dec. 11, 2023",Patrick Weaver,Brandon Williams,R,NY-22,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027321.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $1,789.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
16,"Dec. 7, 2023 - Dec. 11, 2023",Salud Carbajal,Salud Carbajal,D,CA-24,United Arab Emirates,Climate Solutions Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027322.pdf,1,"Dec. 7, 2023 "," Dec. 11, 2023",2023,UAE,")

Traveler $9,942.30 $2,220.00 $451.91
9,600 Roundtrip

airfare $342.30
lacal

Accompanying
"
17,"Dec. 6, 2023 - Dec. 11, 2023",Craig Wheeler,Robert E. Latta,R,OH-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027325.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")

$1,868.90 $1,738"" *Averaged increased
cost across

delegation
Accompanying |actights & local Total cost under |*Additional

"
18,"Dec. 6, 2023 - Dec. 11, 2023",Drew Lingle,Cathy McMorris Rodgers,R,WA-5,United Arab Emirates,Conservative Climate Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027326.pdf,1,"Dec. 6, 2023 "," Dec. 11, 2023",2023,UAE,")
Traveler $2,316.90 $3,050 $1,738"" *Averaged increased
cost across
delegation
Accompanying |aFlights & local Total cost under |‘Additional
"
19,"Oct. 30, 2023 - Nov. 3, 2023",Michael Cameron,Cathy McMorris Rodgers,R,WA-5,Netherlands,"SF Operations, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027274.pdf,2,"Oct. 30, 2023 "," Nov. 3, 2023",2023,Netherlands,")

Total Transportation
Expenses

Traveler

Accompanying
"
20,"Oct. 29, 2023 - Nov. 2, 2023",Tom McClintock,Tom McClintock,R,CA-5,United Kingdom,Heritage Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027275.pdf,2,"Oct. 29, 2023 "," Nov. 2, 2023",2023,United Kingdom,")

Total Transportation
Expenses

Traveler

$1846.35 conference fee
(included all meals)

$37 Churchill War
Museum fee

$12338.00 $1064.85 $961.86

Accompanying
"
21,"Oct. 7, 2023 - Oct. 16, 2023",Tiffany Haverly,Adrian Smith,R,NE-3,Zambia,International Republican Institute,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027171.pdf,3,"Oct. 7, 2023 "," Oct. 16, 2023",2023,Zambia,Error making sandwich
22,"Oct. 7, 2023 - Oct. 16, 2023",Leslie Reagan,Michael McCaul,R,TX-10,Zambia,International Republican Institute,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027174.pdf,3,"Oct. 7, 2023 "," Oct. 16, 2023",2023,Zambia,Error making sandwich
23,"Oct. 7, 2023 - Oct. 16, 2023",Mitchell Moonier,Dina Titus,D,NV-1,Zambia,International Republican Institute,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027179.pdf,3,"Oct. 7, 2023 "," Oct. 16, 2023",2023,Zambia,Error making sandwich
24,"Oct. 5, 2023 - Oct. 15, 2023",Christopher Ringer,Jeffrey Duncan,R,SC-3,Japan,Japan Center for International Exchange,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027202.pdf,3,"Oct. 5, 2023 "," Oct. 15, 2023",2023,Japan,Error making sandwich
25,"Oct. 8, 2023 - Oct. 15, 2023",Rahmon Ross,Jennifer McClellan,D,VA-4,Japan,Japan Center for International Exchange,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027206.pdf,3,"Oct. 8, 2023 "," Oct. 15, 2023",2023,Japan,")

Total Transportation
Expenses

$3,303.11 $1,365.53 $499.27
nla nla n/a

6. All expenses connected to the trip were for actual costs incurred and not a per dieit or lump sum payment.
Signify statement is true by checking box.

Total Lodging
Expenses

"
26,"Oct. 7, 2023 - Oct. 15, 2023",Steven Clark,Alex Mooney,R,WV-2,Japan,Japan Center for International Exchange,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027207.pdf,3,"Oct. 7, 2023 "," Oct. 15, 2023",2023,Japan,Error making sandwich
27,"Oct. 8, 2023 - Oct. 15, 2023",Jennifer Curt,Maxwell Frost,D,FL-10,Japan,Japan Center for International Exchange,Amendment,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027288.pdf,3,"Oct. 8, 2023 "," Oct. 15, 2023",2023,Japan,Error making sandwich
28,"Oct. 8, 2023 - Oct. 15, 2023",Jennifer Curt,Maxwell Frost,D,FL-10,Japan,Japan Center for International Exchange,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027262.pdf,3,"Oct. 8, 2023 "," Oct. 15, 2023",2023,Japan,Error making sandwich
29,"Oct. 7, 2023 - Oct. 14, 2023",Caleb Kostreva,Cory Mills,R,FL-7,China,"American Foreign Policy Council, and Sarah Scaife Foundation Incorporated",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027201.pdf,3,"Oct. 7, 2023 "," Oct. 14, 2023",2023,China,")
Traveler $5,475 (flights: $883.65 (Beijing: |$202 Chinese Visa: $158
$5165, grounds: |$411, Shanghai:
$310) $472)
Accompanying
"
30,"Oct. 4, 2023 - Oct. 14, 2023",Jooeun Kim,Jennifer Wexton,D,VA-10,China,American Foreign Policy Council and Sarah Scaife Foundation Incorporated,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027212.pdf,3,"Oct. 4, 2023 "," Oct. 14, 2023",2023,China,")
Traveler $3,083 (flights: $883.65 (Beijing: |$202 Chinese Visa: $158
$2773, grounds: |$411, Shanghai:
$310) $472)
Accompanying
"
31,"Oct. 8, 2023 - Oct. 14, 2023",Jacob Bornstein,John Curtis,R,UT-3,France,Foundation for Nuclear Studies,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027283.pdf,3,"Oct. 8, 2023 "," Oct. 14, 2023",2023,France,")

Traveler $3060 $818 $322 $372 Lodging and
meals for bus drivers,
tours, tips, banquet

Accompanying | \/A N/A N/A N/A
"
32,"Oct. 7, 2023 - Oct. 13, 2023",Jessica Larsen,Dean Phillips,D,MN-3,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027160.pdf,3,"Oct. 7, 2023 "," Oct. 13, 2023",2023,South Korea,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
33,"Oct. 7, 2023 - Oct. 13, 2023",Max Price,Debbie Wasserman Schultz,D,FL-25,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027162.pdf,3,"Oct. 7, 2023 "," Oct. 13, 2023",2023,South Korea,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
34,"Oct. 7, 2023 - Oct. 13, 2023",Monika Konrad,Mark Amodei,R,NV-2,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027167.pdf,3,"Oct. 7, 2023 "," Oct. 13, 2023",2023,South Korea,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
35,"Oct. 7, 2023 - Oct. 13, 2023",Elizabeth Mount,Elise Stefanik,R,NY-21,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027176.pdf,3,"Oct. 7, 2023 "," Oct. 13, 2023",2023,South Korea,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
