,row,cost
0,0,")

$1,738*

$1,702.90 *Averaged increased

Accompanying |aFlights & local
"
1,1,Error making sandwich
2,2,Error making sandwich
3,4,")

Traveler $13,703.03 $2,222.00 $451.91
$13,054.44Round-t
rip airfare $648.59

Accompanying
"
4,5,Error making sandwich
5,6,Error making sandwich
6,7,")
Traveler 1,948.90 $3,050 $1,738* *Averaged increased
cost across
delegation
Accompanying aFlights & local Total cost under |*Additional
"
7,8,Error making sandwich
8,9,Error making sandwich
9,10,Error making sandwich
10,11,")
Traveler $13,396.74 $2,222.00 $451.91
$13,054.44
Accompanying
"
11,12,Error making sandwich
12,13,")
drayeles $10,913.55 $2,222.00 $451.91
10,381.01

Roundtrip airfare

Accompanying
"
13,14,")
Traveler $17,573.93 $2,222.00 $451.91
$17,145.40
Round-trip airfare
Accompanying |¢47 573.93 $451.91

"
14,15,Error making sandwich
15,16,")

Traveler $9,942.30 $2,220.00 $451.91
9,600 Roundtrip

airfare $342.30
lacal

Accompanying
"
16,17,")

$1,868.90 $1,738"" *Averaged increased
cost across

delegation
Accompanying |actights & local Total cost under |*Additional

"
17,18,Error making sandwich
18,52,")

Total Transportation
Expenses

Traveler

Accompanying
"
19,53,")

Total Transportation
Expenses

Traveler

$1846.35 conference fee
(included all meals)

$37 Churchill War
Museum fee

$12338.00 $1064.85 $961.86

Accompanying
"
20,101,Error making sandwich
21,102,Error making sandwich
22,103,Error making sandwich
23,105,Error making sandwich
24,106,Error making sandwich
25,107,Error making sandwich
26,108,Error making sandwich
27,109,Error making sandwich
28,112,")
Traveler $5,475 (flights: $883.65 (Beijing: |$202 Chinese Visa: $158
$5165, grounds: |$411, Shanghai:
$310) $472)
Accompanying
"
29,113,")
Traveler $3,083 (flights: $883.65 (Beijing: |$202 Chinese Visa: $158
$2773, grounds: $411, Shanghai:
$310) $472)
Accompanying
"
30,115,")

Traveler $3060 $818 $322 $372 Lodging and
meals for bus drivers,
tours, tips, banquet

Accompanying | ya N/A N/A N/A
"
31,118,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
32,119,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
33,120,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
34,124,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
35,125,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
36,127,")

$220 per person for a charter bus
$3,000 per person for round-trip
flight from Washington. DC -
Seoul, South Korea

$230pp per night
$1,150pp total for 5
nights

$355pp total

Accompanying
"
37,132,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
38,133,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
39,148,Error making sandwich
40,150,")
Traveler $3060 $818 $322 $372 Lodging and

meals for bus drivers,
tours, tips, banquet

Accompanying | \y/A N/A N/A N/A
"
41,151,")

Traveler $3060 $818 $322 $372 Lodging and
meals for bus drivers,
tours, tips, banquet

Accompanying | ya N/A N/A N/A
"
42,152,")

Traveler $3060 $818 $322 $372 Lodging and
meals for bus drivers,
tours, tips, banquet

Accompanying | ya N/A N/A N/A
"
43,154,Error making sandwich
44,164,")
Traveler $17,610.21 $1,911.70 $1,430.13 $4,651.21
Accompanying 1$17,610.21 $1,911.70 $1,430.13 $4,651.21
"
45,165,")
Traveler $17,610.21 $1,911.70 $1,430.13 $4,651.21
Accompanying 1$17,610.21 $1,911.70 $1,430.13 $4,651.21
"
46,166,Error making sandwich
47,167,")
Traveler $19,590.91 $1,513.23 $1,430.13 $4,651.21
Accompanying /$19,590.91 $1,513.23 $1,430.13 $4,651.21
"
48,168,")
Traveler $19,590.91 $1,513.23 $1,430.13 $4,651.21
Accompanying /$19,590.91 $1,513.23 $1,430.13 $4,651.21
"
49,169,")
Traveler $17,810.21 $1,692.70 $1,430.13 $4,651.21
Accompanying |$17,526.23 $1,692.70 $1,430.13 $4,651.21
"
50,170,")

$20,210.91 $1,911.70 $1,430.13 $4,651.21

Accompanying $19,528.71 $1,911.70
"
51,171,")
Traveler $17,810.21 $1,692.70 $1,430.13 $4,651.21
Accompanying |$17,526.23 $1,692.70 $1,430.13 $4,651.21
"
52,172,")

$20,210.91 $1,911.70 $1,430.13 $4,651.21

Accompanying $19,528.71 $1,911.70
"
53,173,")
Traveler $17,810.21 $1,911.70 $1,430.13 $4,651.21
Accompanying /$17,810.21 $1,911.70 $1,430.13 $4,651.21
"
54,174,")
Traveler $17,810.21 $1,911.70 $1,430.13 $4,651.21
Accompanying /$17,810.21 $1,911.70 $1,430.13 $4,651.21
"
55,175,")
Traveler $19,590.91 $1,513.23 $1,430.13 $4,651.21
Accompanying /$19,590.91 $1,513.23 $1,430.13 $4,651.21
"
56,176,")
Traveler $19,290.21 $1,911.70 $1,430.13 $4,651.21
Accompanying 1$16,840.21 $1,911.70 $1,430.13 $4,651.21
"
57,177,")
Traveler $19,290.21 $1,911.70 $1,430.13 $4,651.21
Accompanying 1$16,840.21 $1,911.70 $1,430.13 $4,651.21
"
58,178,")
Traveler 16 403 USD 809 USD 61 USD 376 USD -
conference
participation
Accompanying
"
59,179,")
Traveler $19,290.21 $3,221.80 $1,430.13 $4,651.21
Accompanying
"
60,180,")
Traveler $19,290.21 $3,221.80 $1,430.13 $4,651.21
Accompanying
"
61,181,Error making sandwich
62,182,")
Traveler $16,975.61 $3,221.80 $1,430.13 $4,651.21
Accompanying
"
63,183,")
Traveler $16,975.61 $3,221.80 $1,430.13 $4,651.21
Accompanying
"
64,191,Error making sandwich
65,198,")

a - a

Accompanying |N/A
"
66,205,")
Traveler $1,075 $280 $692: AV, meeting
$4,411 (See Appendix) | (See Appendix) | rooms, conference
services
Accompanying

"
67,206,Error making sandwich
68,207,Error making sandwich
69,208,Error making sandwich
70,209,")
Traveler $1,075 $280 $692: AV, meeting
$5,681 (See Appendix) | (See Appendix) | rooms, conference
services
"
71,210,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
72,211,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
73,212,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
74,213,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
75,214,")
Traveler
See attachment
(Expenses)
Accompanying

"
76,215,")
Traveler
See attachment
(Expenses)
Accompanying

"
77,217,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
78,218,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
79,219,Error making sandwich
80,220,")
Traveler $1,075 $280 $692: AV, meeting
$8,848 (See Appendix) | (See Appendix) | rooms, conference
services
"
81,221,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
82,222,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour
Private transportation
$8.26 Museum of
Accompanying NIA N/A Qpcupation and Freedom
"
83,223,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
84,224,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour
Private transportation
$8.26 Museum of
Accompanying NIA N/A Qpcupation and Freedom
"
85,225,")

$2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour
Private transportation
$8.26 Museum of
Accompanying Qpxupation and Freedom
"
86,226,")

$2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour
Private transportation
$8.26 Museum of
Accompanying Qpxupation and Freedom
"
87,227,Error making sandwich
88,228,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
89,229,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
90,230,")
Traveler $2387.05 $8.26 Museum of Occupati
. ; pation
$423 $502.31 and Freedom Fights tour
$246 Private bus transport
Accompanying |N/A N/A N/A N/A

"
91,231,")
Traveler $2387.05 $8.26 Museum of Occupati
. ; pation
$423 $502.31 and Freedom Fights tour
$246 Private bus transport
Accompanying |N/A N/A N/A N/A

"
92,232,")
Traveler $1,075 $280 $692: AV, meeting
$7,575 (See Appendix) | (See Appendix) | rooms, conference
services
"
93,233,Error making sandwich
94,234,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying |N/A N/A N/A Qexupation and Freedom
"
95,235,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
96,236,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
97,237,")
Traveler
See attachment
(Expenses)
Accompanying

"
98,238,")
Traveler
See attachment
(Expenses)
Accompanying

"
99,239,")

$2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour
Private transportation
$8.26 Museum of
Accompanying Qpxupation and Freedom
"
100,240,")
Traveler $2387.05 $8.26 Museum of Occupati
. ; pation
$423 $502.31 and Freedom Fights tour
$246 Private bus transport
Accompanying |N/A N/A N/A N/A

"
101,241,")
Traveler $2387.05 $8.26 Museum of Occupati
. ; pation
$423 $502.31 and Freedom Fights tour
$246 Private bus transport
Accompanying |N/A N/A N/A N/A

"
102,242,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying |N/A N/A N/A Qexupation and Freedom
"
